BLCA_diff,BRCA_diff,CESC_diff,COAD_diff,ESCA_diff,HNSC_diff,KIRC_diff,KIRP_diff,LIHC_diff,LUAD_diff,LUSC_diff,PRAD_diff,READ_diff,STAD_diff,THCA_diff,UCEC_diff,BLCA_zscore,BRCA_zscore,CESC_zscore,COAD_zscore,ESCA_zscore,HNSC_zscore,KIRC_zscore,KIRP_zscore,LIHC_zscore,LUAD_zscore,LUSC_zscore,PRAD_zscore,READ_zscore,STAD_zscore,THCA_zscore,UCEC_zscore,GIP_1,GIP_2,GIP_3,GIP_4,GIP_5,GIP_6,GIP_7,GIP_8,GIP_9,GIP_10,GIP_11,GIP_12,GIP_13,GIP_14,GIP_15,GIP_16,gene_count
1.827142304,0.418517787,3.771792908,2.608315552,-0.506281209,0.505093703,-0.482140599,-1.294808235,-0.452988038,1.008442849,1.09459822,1.32564399,1.789230658,0.295487244,-1.344356108,2.756349673,-0.058924431,-0.066810859,-0.052919874,-0.064366472,-0.057028009,-0.057739463,-0.061764634,-0.052140103,-0.068184281,-0.056463317,-0.061148523,-0.046433157,-0.063253692,-0.058256677,-0.077550945,-0.06716571,0.041481357,0.001253615,-0.04154109,0.04938185,0.007487378,0.023406863,-0.030867215,0.024654077,-0.06671426,-0.000553664,-0.05532325,0.012034385,-0.027010184,0.03610074,-0.05125297,-0.022858564,1378
1.752982286,0.330949167,2.673848749,-0.713930848,1.419793411,0.724117246,1.327374477,0.842822735,0.467764918,0.186028934,0.608087366,0.730357031,-0.949229585,1.285405921,-0.654057797,1.968569512,0.046563612,0.009576761,0.049126469,0.012029904,0.026685757,0.025399844,-0.027382414,-0.021880429,0.000554468,0.011947177,0.039495097,-0.026625693,0.010372087,0.013093413,-0.01639807,0.072606316,0.012841676,-0.06644568,-0.031421833,0.003325974,-0.010393567,-0.00229319,-0.0310565,0.027262231,-0.04181958,-0.00882824,-0.024151037,0.03788537,-0.014023216,0.025873154,-0.009981671,0.006872829,1846
1.017851442,0.521470746,1.511628884,0.673756099,0.584549349,-0.138130036,-0.060210395,-0.308199073,0.216498913,0.09315032,-0.60565254,-0.168804742,1.90964457,0.786092142,-0.280985188,1.609077195,-0.050857884,-0.061790372,-0.048847482,-0.062969169,-0.050718763,-0.051727403,-0.057910612,-0.046977842,-0.050298293,-0.048365925,-0.055505257,-0.054726495,-0.065079802,-0.051490534,-0.064103489,-0.061956348,0.013389255,-0.03970906,-0.05304192,0.00151262,-0.008417775,-0.024996288,0.013846766,0.012070476,-0.057996146,-0.040560085,-0.00939333,-0.019193992,0.016926445,0.032308664,-0.017117497,-0.02668905,1861
0.262787292,-0.962976792,-0.670476255,2.45827266,-0.782751765,-1.154404994,-1.327053441,-0.757625308,-1.552710645,0.023281982,-0.819327154,-1.538123284,3.606941855,-0.092553091,-1.035205818,0.973544309,3.226436012,4.32114411,3.153831747,9.602498651,2.43721661,0.472483718,3.918899531,5.094549112,1.97924375,2.953363454,2.922173427,0.411093082,9.331594763,3.552481934,0.69319803,14.53189579,0.002125304,-0.001162034,-0.01895497,0.06251657,-0.020880567,0.004235012,-0.06167885,0.001323725,-0.06063413,-0.06726825,-0.005599253,0.008858295,-0.009994652,0.011193876,0.007374039,0.019883558,704
-1.039848919,-2.23740326,-3.157149831,1.560735782,-0.230776162,-0.881727524,-0.95038601,-2.662905288,2.41640574,-0.704663984,-0.225568403,0.383362755,2.875670657,-0.360079783,-0.774574097,-1.946101049,4.281265302,10.77182424,3.698657995,4.769890404,1.966727091,2.863272261,21.25355009,7.74434613,2.402185471,0.750748491,1.450867421,4.050410767,3.038273253,1.673951226,2.99900819,15.60270473,0.025403582,0.002356367,-0.05791766,0.007744804,0.010803481,-0.019961424,-0.043454837,0.007244709,-0.06365563,-0.04673795,-0.028439475,-0.010961881,-0.022555834,0.01629766,-0.016305393,-0.014571292,550
0,0,0,0,0,0,0,0,0.020306023,0.363368834,0.084546453,0,0,0.012278488,0.138479455,0,-0.061414351,-0.070001023,-0.05794766,-0.071169034,-0.058869111,-0.060293858,-0.063858055,-0.053622778,-0.069634745,-0.058156057,-0.065068203,-0.058183208,-0.072364429,-0.06048899,-0.078625893,-0.075322476,-0.2746815,-0.1548727,-0.29344535,0.12523457,-0.3864237,0.18829799,-0.33598527,-0.26566884,-0.093387425,-0.22665527,0.18709573,-0.57081974,0.4810411,0.13270386,0.17474404,0.036744367,70
0.920946116,0.098573697,0.424905508,0,-0.006851908,0.387899103,0.490927621,0.284999534,0.289217451,0.595163241,0.556629782,0.390125094,0,0.141274045,-3.100102783,0.28463008,-0.061390324,-0.069972327,-0.057927009,-0.071155629,-0.058851283,-0.060277178,-0.06384043,-0.053610424,-0.069620021,-0.058148101,-0.065049217,-0.058170116,-0.072352395,-0.060457149,-0.077479079,-0.075283214,-0.23228627,-0.1272365,-0.22756967,0.12184009,-0.3583603,0.13890706,-0.27561563,-0.19966134,-0.10587454,-0.19082433,0.12116814,-0.42010868,0.36585248,0.14174697,0.11960842,0.035684988,47
1.632402223,0.167101592,1.061428011,-4.344590857,1.480845363,0.54828142,0.467522631,0.849780572,1.029199626,-1.225988563,0.351011214,-0.278551583,-4.893528844,0.475670466,-0.582639068,0.880809612,-0.058356944,-0.068253781,-0.055426429,-0.069333711,-0.056599293,-0.057842406,-0.062857432,-0.050125134,-0.066387378,-0.055059786,-0.060665651,-0.057360206,-0.070485008,-0.058793197,-0.070983076,-0.069080621,-0.31157544,-0.12352516,-0.28229225,0.115786776,-0.41559258,0.18706314,-0.3495592,-0.20647582,-0.12743208,-0.23443997,0.17401126,-0.57280433,0.528005,0.10867853,0.14963666,0.011771154,78
0.426917281,0.583956568,0,-1.025657106,0.762660127,0.45996623,0.391747159,0.53017687,0.11506411,-0.460583072,0.490307991,0.407439217,-1.377869821,0.740503858,-0.355520558,0.591524759,-0.061383562,-0.069972918,-0.057911561,-0.071093568,-0.058842352,-0.060249705,-0.063846755,-0.053610618,-0.069614719,-0.058125411,-0.065032906,-0.058172283,-0.072309233,-0.060458977,-0.078563962,-0.075286169,-0.27680078,-0.16170979,-0.29563272,0.13185626,-0.36676455,0.20746341,-0.3404129,-0.2702126,-0.104278475,-0.22600791,0.19129562,-0.5749023,0.47594285,0.12894276,0.16701204,0.036735095,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.061414141,-0.07000144,-0.057947572,-0.071168555,-0.058868374,-0.060292645,-0.063858517,-0.053622941,-0.069634145,-0.058157943,-0.065067989,-0.058183024,-0.072362651,-0.060488444,-0.078626833,-0.075321736,-0.3158049,-0.16267128,-0.303957,0.1411219,-0.42514557,0.2139611,-0.36621034,-0.2694599,-0.119892806,-0.2514137,0.1828255,-0.58710694,0.558771,0.097208455,0.17720914,0.039020784,40
